what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1386532637544
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386532646223
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386532677785
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1386532686825
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1386532691949
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1386532696211
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386532709251
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386532718859
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1386532737129
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1386532772972
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1386532773566
error,log,,,"Error in JSDT Core during AST creation",1386532773571
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1386532777681
error,log,,,"Error in JSDT Core during AST creation",1386532777685
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386532812645
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386532814783
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1386532821269
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386532830498
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386532832065
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1386532841715
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386532844134
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386532977289
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386532978589
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386532980358
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1386532983606
error,log,,,"Error in JSDT Core during AST creation",1386532983615
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1386532990856
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386532994388
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386532996345
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1386533040387
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1386533054413
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386533057921
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386533105873
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1386533107842
error,log,,,"Error in JSDT Core during AST creation",1386533107851
error,log,,,"Unexpected runtime error while computing a text hover",1386533107864
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1386533110322
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1386533116582
